title,district,sector,property_type,bedrooms,bathrooms,size_sqft,land_size,year_built,road_access,furnished,parking,modern_finish,proximity_to_city,price_rwf,sector_official,geo_source,cbd_distance_km,nearest_school_km,nearest_hospital_km,nearest_market_km,nearest_bank_km,accessibility_score,sector_density_score,neighborhood_score,investment_score
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,1,1,6874,1276,2005,paved,1,4,1,14,105192502.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Kimihurura,Gasabo,Kimihurura,villa,2,2,4939,258,2025,dirt,0,3,1,19,414906671.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,7,2,6519,1881,2011,paved,0,2,1,13,658397334.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
House in Kibagabaga,Gasabo,Kibagabaga,house,5,3,7411,327,2019,dirt,1,4,1,21,224349962.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Villa in Kibagabaga,Gasabo,Kibagabaga,villa,5,2,6571,434,1992,dirt,0,1,0,13,129570879.0,Kimironko,sector_centroid,7.615,0.753,0.257,1.041,0.918,51.7,15.7,42.0,47.6
Villa in Nyamirambo,Nyarugenge,Nyamirambo,villa,7,3,2132,1666,2012,paved,0,0,0,6,91048861.0,Nyamirambo,sector_centroid,5.271,1.435,1.088,0.992,2.672,39.6,6.1,22.4,38.4
Villa in Gacuriro,Gasabo,Gacuriro,villa,2,4,3908,1255,2025,paved,0,0,1,2,283961419.0,Kinyinya,sector_centroid,6.361,1.474,0.742,1.386,3.269,36.8,4.7,25.4,35.9
Villa in Gisozi,Gasabo,Gisozi,villa,3,1,2528,2473,2010,paved,1,3,1,5,101218684.0,Gisozi,sector_centroid,3.587,0.708,0.343,2.897,1.134,53.6,7.8,28.8,51.5
Apartment in Kanombe,Kicukiro,Kanombe,apartment,5,3,6919,1904,2015,paved,0,4,1,25,122586593.0,Kanombe,sector_centroid,11.366,1.122,0.524,0.45,4.006,40.5,6.3,30.9,39.2
Townhouse in Kimihurura,Gasabo,Kimihurura,townhouse,2,2,7288,1879,1994,paved,0,4,1,18,374537777.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,6,1,6384,2349,2007,paved,0,3,1,24,661046726.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Remera,Gasabo,Remera,villa,5,2,4958,585,2009,paved,0,4,0,30,215370632.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Apartment in Nyarutarama,Gasabo,Nyarutarama,apartment,5,3,4802,229,1997,dirt,0,2,1,8,476866723.0,Remera,sector_centroid,5.253,0.415,0.103,1.031,0.685,62.8,61.1,74.5,43.6
Villa in Kimihurura,Gasabo,Kimihurura,villa,1,4,7484,433,2024,paved,0,4,1,17,650000000.0,Kimihurura,sector_centroid,3.371,0.457,0.382,0.893,0.446,67.4,71.0,62.4,43.5
