title,district,sector,land_size,road_access,proximity_to_city,proximity_to_road,slope,utilities,title_deed,price_per_sqm_rwf,price_rwf
Land in Gitega,Nyarugenge,Gitega,3075,dirt,34,494,gentle,1,1,28572.0,87858496.0
Land in Nyarugenge Town,Nyarugenge,Nyarugenge Town,2022,dirt,6,107,flat,1,1,152723.0,308805957.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,4592,paved,26,268,flat,1,1,86827.0,398707469.0
Land in Gisozi,Gasabo,Gisozi,2634,paved,19,226,steep,1,1,55650.0,146581127.0
Land in Nyarutarama,Gasabo,Nyarutarama,3023,dirt,21,442,gentle,1,0,182600.0,551998540.0
Land in Kanombe,Kicukiro,Kanombe,3744,paved,35,90,steep,0,1,56244.0,210577969.0
Land in Gahanga,Kicukiro,Gahanga,3663,paved,35,158,gentle,1,1,48981.0,179417352.0
Land in Remera,Gasabo,Remera,3096,paved,10,155,flat,1,1,202031.0,625489436.0
Land in Kibagabaga,Gasabo,Kibagabaga,2449,paved,1,352,gentle,0,1,109567.0,268329707.0
Land in Gisozi,Gasabo,Gisozi,2499,dirt,1,280,gentle,1,0,46059.0,115100196.0
Land in Gacuriro,Gasabo,Gacuriro,1437,dirt,25,424,gentle,1,1,95291.0,136933636.0
Land in Kanombe,Kicukiro,Kanombe,2327,paved,35,414,gentle,1,0,46190.0,107485113.0
Land in Remera,Gasabo,Remera,1004,dirt,29,139,steep,0,1,68829.0,69104628.0
Land in Nyarutarama,Gasabo,Nyarutarama,4482,paved,7,144,gentle,1,1,368377.0,1651065846.0
Land in Kimihurura,Gasabo,Kimihurura,1334,paved,14,175,gentle,1,1,381641.0,509108836.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,359,paved,10,28,gentle,0,1,128259.0,46045060.0
Land in Gacuriro,Gasabo,Gacuriro,2148,dirt,1,62,steep,1,1,113620.0,244056174.0
Land in Nyarugenge Town,Nyarugenge,Nyarugenge Town,374,paved,7,266,steep,0,1,129646.0,48487517.0
Land in Remera,Gasabo,Remera,2746,paved,3,381,steep,0,1,121549.0,333774678.0
Land in Gacuriro,Gasabo,Gacuriro,3052,dirt,14,498,flat,1,1,89185.0,272191094.0
Land in Gitega,Nyarugenge,Gitega,2361,dirt,26,404,flat,1,1,46631.0,110096727.0
Land in Kicukiro Center,Kicukiro,Kicukiro Center,4984,paved,6,127,flat,1,1,126115.0,628558288.0
Land in Gitega,Nyarugenge,Gitega,591,paved,10,359,steep,0,1,51279.0,30305752.0
Land in Kanombe,Kicukiro,Kanombe,2945,dirt,29,375,flat,1,1,58267.0,171596007.0
Land in Remera,Gasabo,Remera,423,paved,29,286,gentle,0,1,129512.0,54783644.0
Land in Kanombe,Kicukiro,Kanombe,2948,paved,30,140,steep,0,1,53236.0,156938946.0
Land in Kacyiru,Gasabo,Kacyiru,3781,paved,17,277,gentle,1,1,234592.0,886991124.0
Land in Nyarugenge Town,Nyarugenge,Nyarugenge Town,1619,dirt,24,397,steep,1,1,73219.0,118541735.0
