bedrooms,bathrooms,size_sqft,age,location,price
6,1,704,47,Suburb,398855.61
2,1,4967,5,Beachside,1196912.95
1,1,2291,14,Beachside,629793.19
5,2,4964,26,City Center,1320251.01
3,1,1807,44,Countryside,450530.52
2,2,3257,6,Downtown,861209.57
3,3,2666,2,Industrial,744112.11
1,4,1145,35,Suburb,390645.36
5,3,2075,45,Downtown,697784.04
2,3,1153,14,Downtown,468101.71
4,3,1832,23,Suburb,604606.51
3,1,1901,34,Industrial,464232.3
4,4,2711,40,Industrial,791109.22
6,3,958,14,Downtown,679682.47
4,3,1042,13,Beachside,622475.84
3,2,4589,25,Industrial,1061491.83
3,2,2520,47,Beachside,749295.92
6,4,3771,23,City Center,1330023.0
2,4,1244,48,Downtown,511234.77
2,2,3958,38,Downtown,952138.84
5,4,4834,16,Beachside,1514741.91
1,1,4898,48,Suburb,1061728.02
3,1,2904,27,City Center,782985.57
6,3,4600,48,City Center,1310009.53
1,3,4658,38,City Center,1009293.89
2,1,3155,31,Downtown,732825.78
3,3,2461,3,City Center,858007.65
1,1,4481,4,Beachside,1127099.2
2,4,1852,16,Beachside,716037.88
4,2,4917,48,Industrial,1195122.72
6,3,3768,42,Industrial,1033749.96
5,4,1491,15,City Center,653294.67
1,2,2304,0,Downtown,677852.58
1,2,1052,2,Suburb,308441.45
2,3,4476,13,Beachside,1079977.18
5,4,2490,50,Countryside,831154.03
2,1,1294,42,Countryside,306597.43
4,4,943,43,Industrial,465166.89
1,1,3798,46,Suburb,838129.69
1,2,2069,12,Beachside,599574.02
4,2,2781,29,City Center,905815.86
1,4,1302,3,Industrial,446431.75
1,1,2436,10,Countryside,540642.92
2,4,980,10,Countryside,352068.55
4,3,4227,18,Countryside,1141587.22
6,4,1768,12,Suburb,731809.76
1,1,3069,3,Downtown,782251.56
5,2,965,32,Downtown,572593.65
1,1,2426,25,Downtown,661371.59
5,2,825,39,Downtown,488479.03
5,3,2636,13,Industrial,863488.39
2,3,3742,8,Industrial,932776.38
4,3,1094,0,Countryside,510886.85
5,1,1100,34,City Center,519610.83
2,3,1063,15,Suburb,382894.69
4,3,4833,0,Industrial,1315026.19
3,1,1600,16,Downtown,599336.05
6,2,2731,18,Beachside,922529.71
3,2,2662,32,Countryside,650333.48
1,1,3969,17,Downtown,836128.29
2,3,1823,47,Countryside,479000.34
4,1,1416,4,Industrial,526558.8
5,1,3524,37,Beachside,956856.59
2,1,3025,23,Downtown,842772.14
2,2,1342,22,Beachside,533460.07
4,2,2439,10,City Center,864040.19
1,2,3221,50,Countryside,709651.15
6,2,2685,10,Industrial,794435.69
